Marcas , Codigo
Chevrolet,chevrolet,
Fiat,fiat,
Ford,ford,
Honda,honda,
Hyundai,hyundai,
Nissan,nissan,
Peugeot,peugeot,
Renault,renault,
Toyota,toyota,
Volkswagen,volkswagen,
Agrale,agrale,
Alfa Romeo,alfa-romeo,
Aston Martin,aston-martin,
Audi,audi,
BMW,bmw,
Bugre,bugre,
Chana,chana,
Changan,changan,
Chery,chery,
Chrysler,chrysler,
Citroen,citroen,
Cross Lander,cross-lander,
Dodge,dodge,
Effa,effa,
Ferrari,ferrari,
Fibravan,fibravan,
Foton,foton,
Fyber,fyber,
Geely,geely,
Great Wall,great-wall,
Hafei,hafei,
Hitech Electric,hitech-electric,
Iveco,iveco,
JAC,jac,
Jaguar,jaguar,
Jeep,jeep,
Jinbei,jinbei,
Kia Motors,kia-motors,
Lamborghini,lamborghini,
Land Rover,land-rover,
Lexus,lexus,
Lifan,lifan,
Lobini,lobini,
Mahindra,mahindra,
Maserati,maserati,
Mclaren,mclaren,
Mercedes-Benz,mercedes-benz,
MG,mg,
Mini,mini,
Mitsubishi,mitsubishi,
Porsche,porsche,
RAM,ram,
Rely,rely,
Rolls-Royce,rolls-royce,
Shineray,shineray,
Smart,smart,
Ssangyong,ssangyong,
Subaru,subaru,
Suzuki,suzuki,
TAC,tac,
Troller,troller,
Volvo,volvo,
Wake,wake,
Walk,walk,
